,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
1258,1.50278,0.0357207,42.07   0.000,,1.432769,1.572792
1259,1.709981,0.0355705,48.07   0.000,,1.640264,1.779698
1260,1.821122,0.0345397,52.73   0.000,,1.753426,1.888819
1261,1.949259,0.0349504,55.77   0.000,,1.880757,2.01776
1262,2.076483,0.0351554,59.07   0.000,,2.007579,2.145386
1263,2.095882,0.0410761,51.02   0.000,,2.015374,2.17639
1264,2.226417,0.0381541,58.35   0.000,,2.151636,2.301197
1265,2.333448,0.0430389,54.22   0.000,,2.249093,2.417803
1266,2.495463,0.0488754,51.06   0.000,,2.399669,2.591257
1267,0.8569257,0.0491016,17.45   0.000,,0.7606883,0.9531632
1268,0.9372746,0.0551201,17.00   0.000,,0.829241,1.045308
1269,1.221452,0.0502915,24.29   0.000,,1.122882,1.320022
1270,1.464441,0.0470031,31.16   0.000,,1.372317,1.556566
1271,1.696576,0.0463276,36.62   0.000,,1.605776,1.787377
1272,1.973519,0.0407837,48.39   0.000,,1.893584,2.053453
1273,1.993038,0.0422233,47.20   0.000,,1.910281,2.075794
1274,1.857874,0.044435,41.81   0.000,,1.770783,1.944965
1275,1.605476,0.0420285,38.20   0.000,,1.523101,1.68785
1276,1.410832,0.0434754,32.45   0.000,,1.325622,1.496042
1277,1.397213,0.0413911,33.76   0.000,,1.316088,1.478338
1278,1.353544,0.04471,30.27   0.000,,1.265914,1.441174
1279,1.378637,0.043157,31.94   0.000,,1.294051,1.463223
1280,1.502229,0.0566069,26.54   0.000,,1.391281,1.613177
1281,1.702701,0.0537113,31.70   0.000,,1.597429,1.807973
1282,1.771446,0.0433441,40.87   0.000,,1.686493,1.856399
1283,1.899573,0.0463658,40.97   0.000,,1.808698,1.990448
1284,2.013051,0.0447542,44.98   0.000,,1.925335,2.100768
1285,2.122335,0.0543712,39.03   0.000,,2.01577,2.228901
1286,2.190769,0.0519842,42.14   0.000,,2.088882,2.292656
1287,2.271285,0.0548637,41.40   0.000,,2.163754,2.378816
1288,2.520769,0.1285397,19.61   0.000,,2.268836,2.772702
1289,0.7726159,0.078003,9.90   0.000,,0.6197329,0.925499
1290,0.8098473,0.0789527,10.26   0.000,,0.6551027,0.9645918
1291,1.163713,0.0731188,15.92   0.000,,1.020403,1.307023
1292,1.598976,0.0702373,22.77   0.000,,1.461313,1.736639
1293,1.934972,0.0669865,28.89   0.000,,1.803681,2.066263
1294,2.162527,0.080325,26.92   0.000,,2.005092,2.319961
1295,2.008506,0.0756062,26.57   0.000,,1.860321,2.156692
1296,1.838573,0.0753054,24.41   0.000,,1.690977,1.986169
1297,1.63027,0.0690539,23.61   0.000,,1.494926,1.765613
1298,1.554336,0.0767767,20.24   0.000,,1.403856,1.704815
1299,1.435411,0.07676,18.70   0.000,,1.284964,1.585858
1300,1.409777,0.0748558,18.83   0.000,,1.263063,1.556492
1301,1.71823,0.0735421,23.36   0.000,,1.57409,1.86237
1302,1.958804,0.0746994,26.22   0.000,,1.812396,2.105212
1303,1.711814,0.0735511,23.27   0.000,,1.567656,1.855971
1304,1.981128,0.0754301,26.26   0.000,,1.833288,2.128969
1305,1.99962,0.0806106,24.81   0.000,,1.841627,2.157614
1306,2.31477,0.1072519,21.58   0.000,,2.10456,2.52498
1307,2.38783,0.0791685,30.16   0.000,,2.232663,2.542998
1308,2.444675,0.1460289,16.74   0.000,,2.158463,2.730886
1309,2.5229,0.2728294,9.25   0.000,,1.988164,3.057636
1310,0.8798028,0.2110888,4.17   0.000,,0.4660763,1.293529
1311,1.287154,0.1865661,6.90   0.000,,0.9214911,1.652817
1312,1.141374,0.1994167,5.72   0.000,,0.7505241,1.532223
1313,1.484189,0.2233082,6.65   0.000,,1.046513,1.921865
1314,1.545594,0.2114749,7.31   0.000,,1.13111,1.960077
1315,1.323393,0.2357374,5.61   0.000,,0.8613561,1.78543
1316,1.272001,0.2631322,4.83   0.000,,0.7562713,1.787731
1317,1.661613,0.1883966,8.82   0.000,,1.292362,2.030864
1318,2.057392,0.1810408,11.36   0.000,,1.702558,2.412226
1319,1.965618,0.2036004,9.65   0.000,,1.566568,2.364667
1320,1.89801,0.1942452,9.77   0.000,,1.517296,2.278723
1321,2.143244,0.2296522,9.33   0.000,,1.693134,2.593354
1322,2.104599,0.202461,10.40   0.000,,1.707783,2.501416
1323,2.492529,0.2083985,11.96   0.000,,2.084075,2.900983
1324,2.288328,0.1711914,13.37   0.000,,1.952799,2.623858
1325,2.174837,0.1989961,10.93   0.000,,1.784812,2.564863
1326,2.306727,0.2720163,8.48   0.000,,1.773585,2.839869
1327,2.692933,0.4678533,5.76   0.000,,1.775957,3.609909
1328,-0.4736238,0.2084328,-2.27   0.023,,-0.8821447,-0.0651028
1329,0.5804352,0.0600544,9.67   0.000,,0.4627307,0.6981397
1330,0.7209104,0.0434473,16.59   0.000,,0.6357551,0.8060656
1331,0.7172172,0.0465433,15.41   0.000,,0.6259939,0.8084405
1332,0.8299633,0.042467,19.54   0.000,,0.7467294,0.9131971
1333,0.8321528,0.0410192,20.29   0.000,,0.7517567,0.912549
1334,0.8517501,0.0435453,19.56   0.000,,0.7664029,0.9370972
1335,0.9163482,0.0413582,22.16   0.000,,0.8352876,0.9974087
1336,0.9851544,0.0401014,24.57   0.000,,0.9065571,1.063752
1337,0.9785347,0.0410817,23.82   0.000,,0.898016,1.059053
1338,1.127401,0.0378172,29.81   0.000,,1.05328,1.201521
1339,1.321744,0.0381905,34.61   0.000,,1.246892,1.396596
1340,1.55239,0.0380102,40.84   0.000,,1.477891,1.626889
1341,1.946806,0.0373975,52.06   0.000,,1.873508,2.020103
1342,2.102135,0.0379617,55.38   0.000,,2.027731,2.176538
1343,1.934363,0.0434425,44.53   0.000,,1.849218,2.019509
1344,1.681602,0.0403942,41.63   0.000,,1.60243,1.760773
1345,1.541416,0.0374333,41.18   0.000,,1.468048,1.614784
1346,1.56748,0.0375509,41.74   0.000,,1.493881,1.641078
1347,1.53356,0.0376261,40.76   0.000,,1.459814,1.607306
1348,1.540945,0.0384904,40.03   0.000,,1.465505,1.616384
1349,1.685997,0.0419424,40.20   0.000,,1.603791,1.768202
1350,1.798083,0.0386934,46.47   0.000,,1.722245,1.873921
1351,1.908256,0.0402447,47.42   0.000,,1.829378,1.987134
1352,1.953194,0.0377823,51.70   0.000,,1.879142,2.027246
1353,2.084119,0.0383727,54.31   0.000,,2.00891,2.159328
1354,2.186312,0.0442641,49.39   0.000,,2.099556,2.273068
1355,2.227312,0.043483,51.22   0.000,,2.142086,2.312537
1356,2.352724,0.0425899,55.24   0.000,,2.269249,2.436198
1357,2.504997,0.0528517,47.40   0.000,,2.40141,2.608585
1358,1.199803,0.0831539,14.43   0.000,,1.036824,1.362781
1359,1.712989,0.0753491,22.73   0.000,,1.565308,1.860671
1360,2.122563,0.0723143,29.35   0.000,,1.98083,2.264297
1361,2.213923,0.07387,29.97   0.000,,2.06914,2.358706
1362,2.118806,0.0814343,26.02   0.000,,1.959198,2.278414
1363,1.986205,0.092811,21.40   0.000,,1.804299,2.168111
1364,1.810932,0.07388,24.51   0.000,,1.66613,1.955734
1365,1.743464,0.0739483,23.58   0.000,,1.598528,1.8884
1366,1.651215,0.0722772,22.85   0.000,,1.509554,1.792876
1367,1.547279,0.0703767,21.99   0.000,,1.409343,1.685215
1368,1.796755,0.0971495,18.49   0.000,,1.606346,1.987165
1369,1.74539,0.0734285,23.77   0.000,,1.601473,1.889308
1370,1.858732,0.0878185,21.17   0.000,,1.686611,2.030853
1371,1.9201,0.0806854,23.80   0.000,,1.76196,2.078241
1372,2.086778,0.0675045,30.91   0.000,,1.954472,2.219084
1373,2.15042,0.0782336,27.49   0.000,,1.997085,2.303755
1374,2.073368,0.0936781,22.13   0.000,,1.889762,2.256974
1375,2.523798,0.1331527,18.95   0.000,,2.262823,2.784773
1376,2.832964,0.1813239,15.62   0.000,,2.477576,3.188353
1377,0.5745077,0.0487962,11.77   0.000,,0.4788688,0.6701466
1378,0.6119435,0.0383152,15.97   0.000,,0.5368471,0.68704
1379,0.6061375,0.0394835,15.35   0.000,,0.5287513,0.6835238
1380,0.64351,0.0381882,16.85   0.000,,0.5686625,0.7183575
1381,0.6510503,0.0378632,17.19   0.000,,0.5768398,0.7252609
1382,0.7652961,0.0369659,20.70   0.000,,0.6928442,0.837748
1383,0.9278685,0.0368784,25.16   0.000,,0.8555881,1.000149
1384,1.104161,0.0365328,30.22   0.000,,1.032558,1.175764
1385,1.229803,0.0365963,33.60   0.000,,1.158075,1.30153
1386,1.309701,0.0364321,35.95   0.000,,1.238295,1.381107
1387,1.528384,0.0363776,42.01   0.000,,1.457085,1.599683
1388,1.830027,0.0362534,50.48   0.000,,1.758972,1.901083
1389,2.02022,0.0359774,56.15   0.000,,1.949705,2.090734
1390,2.123509,0.0361195,58.79   0.000,,2.052716,2.194302
1391,2.043312,0.0376449,54.28   0.000,,1.969529,2.117094
1392,1.793872,0.0367795,48.77   0.000,,1.721785,1.865958
1393,1.690317,0.0363012,46.56   0.000,,1.619168,1.761466
1394,1.766636,0.0364149,48.51   0.000,,1.695264,1.838008
1395,1.704413,0.0363644,46.87   0.000,,1.63314,1.775686
1396,1.729606,0.0367021,47.13   0.000,,1.657671,1.801541
1397,1.898554,0.0370346,51.26   0.000,,1.825967,1.97114
1398,2.010006,0.0375272,53.56   0.000,,1.936454,2.083558
1399,2.070549,0.0373047,55.50   0.000,,1.997433,2.143665
1400,2.152771,0.0371445,57.96   0.000,,2.079969,2.225573
1401,2.237775,0.0366262,61.10   0.000,,2.165989,2.309561
1402,2.343841,0.0377678,62.06   0.000,,2.269817,2.417864
1403,2.338936,0.0376709,62.09   0.000,,2.265102,2.41277
1404,2.368214,0.0380048,62.31   0.000,,2.293726,2.442703
1405,2.513799,0.0393609,63.87   0.000,,2.436653,2.590945
1406,0.6061541,0.0643077,9.43   0.000,,0.4801132,0.732195
1407,0.4548473,0.0544597,8.35   0.000,,0.3481081,0.5615864
1408,0.3994687,0.0581267,6.87   0.000,,0.2855424,0.5133951
1409,0.487501,0.0528423,9.23   0.000,,0.3839319,0.59107
1410,0.5669504,0.0461527,12.28   0.000,,0.4764928,0.6574081
1411,0.5335686,0.04661,11.45   0.000,,0.4422148,0.6249225
1412,0.6674915,0.0463515,14.40   0.000,,0.5766443,0.7583387
1413,0.8047889,0.0434133,18.54   0.000,,0.7197004,0.8898774
1414,1.03885,0.0421153,24.67   0.000,,0.9563056,1.121394
1415,1.259545,0.0405282,31.08   0.000,,1.180111,1.338979
1416,1.470092,0.0406904,36.13   0.000,,1.39034,1.549843
1417,1.669851,0.0407099,41.02   0.000,,1.590061,1.749641
1418,1.964399,0.0386664,50.80   0.000,,1.888614,2.040183
1419,1.964233,0.041481,47.35   0.000,,1.882932,2.045535
1420,1.854828,0.0462847,40.07   0.000,,1.764112,1.945544
1421,1.614823,0.0404148,39.96   0.000,,1.535612,1.694035
1422,1.493978,0.0401593,37.20   0.000,,1.415267,1.572689
1423,1.490772,0.0419121,35.57   0.000,,1.408626,1.572918
1424,1.443108,0.0405995,35.54   0.000,,1.363534,1.522681
1425,1.45874,0.0407616,35.79   0.000,,1.378849,1.538632
1426,1.627949,0.0444238,36.65   0.000,,1.54088,1.715018
1427,1.815859,0.0417422,43.50   0.000,,1.734046,1.897672
1428,1.931102,0.0441935,43.70   0.000,,1.844484,2.01772
1429,2.003895,0.0433968,46.18   0.000,,1.918839,2.088951
1430,2.106857,0.040893,51.52   0.000,,2.026708,2.187006
1431,2.285812,0.0435107,52.53   0.000,,2.200532,2.371091
1432,2.271816,0.0438332,51.83   0.000,,2.185905,2.357728
1433,2.34684,0.053134,44.17   0.000,,2.2427,2.450981
1434,2.483656,0.0571793,43.44   0.000,,2.371587,2.595726
1435,0.8260267,0.0731584,11.29   0.000,,0.6826387,0.9694146
1436,1.045229,0.0644189,16.23   0.000,,0.9189698,1.171487
1437,1.324923,0.0669323,19.79   0.000,,1.193738,1.456108
1438,1.706483,0.0591031,28.87   0.000,,1.590643,1.822323
1439,1.963449,0.0533473,36.81   0.000,,1.85889,2.068008
1440,1.939767,0.0666269,29.11   0.000,,1.809181,2.070353
1441,1.839548,0.0644939,28.52   0.000,,1.713142,1.965954
1442,1.554876,0.0538218,28.89   0.000,,1.449387,1.660365
1443,1.395149,0.053142,26.25   0.000,,1.290993,1.499306
1444,1.40679,0.0588434,23.91   0.000,,1.291459,1.522121
1445,1.287167,0.056862,22.64   0.000,,1.175719,1.398614
1446,1.299502,0.0594472,21.86   0.000,,1.182988,1.416017
1447,1.435947,0.059935,23.96   0.000,,1.318477,1.553418
1448,1.595993,0.0597868,26.69   0.000,,1.478813,1.713173
1449,1.815633,0.0597814,30.37   0.000,,1.698464,1.932803
1450,1.813665,0.0724537,25.03   0.000,,1.671659,1.955672
1451,2.015284,0.0567712,35.50   0.000,,1.904015,2.126554
1452,2.054051,0.0616797,33.30   0.000,,1.933161,2.174941
1453,2.134253,0.0803689,26.56   0.000,,1.976733,2.291774
1454,2.245522,0.0819259,27.41   0.000,,2.08495,2.406094
1455,2.373771,0.1186067,20.01   0.000,,2.141307,2.606236
,,,,,,
month,,,,,,
2,0.0051763,0.0023049,2.25   0.025,,0.0006589,0.0096938
3,0.016194,0.0021353,7.58   0.000,,0.0120089,0.0203791
4,0.0314468,0.0021169,14.86   0.000,,0.0272978,0.0355958
5,0.0458967,0.0020922,21.94   0.000,,0.0417961,0.0499974
6,0.0574145,0.002062,27.84   0.000,,0.0533731,0.0614558
7,0.0607126,0.0021043,28.85   0.000,,0.0565884,0.0648369
8,0.0644829,0.0020888,30.87   0.000,,0.0603889,0.0685769
9,0.0635204,0.0021495,29.55   0.000,,0.0593075,0.0677333
10,0.0692252,0.0021563,32.10   0.000,,0.064999,0.0734515
11,0.0699832,0.0021956,31.87   0.000,,0.0656799,0.0742865
12,0.0652574,0.0021727,30.04   0.000,,0.060999,0.0695158
,,,,,,
_cons,10.66033,0.0313932,339.57   0.000,,10.5988,10.72186
,,,,,,
sigma_u,0.9966193,,,,,
sigma_e,0.55890998,,,,,
rho,0.76074364,(fraction,of variance due,to,u_i),
