,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
259,0.6782609,0.0947157,7.16   0.000,,0.4926215,0.8639002
260,0.777791,0.0850734,9.14   0.000,,0.6110502,0.9445318
261,0.7881939,0.0855396,9.21   0.000,,0.6205393,0.9558485
262,0.9137584,0.0813813,11.23   0.000,,0.754254,1.073263
263,1.026932,0.0869048,11.82   0.000,,0.8566016,1.197262
264,1.133929,0.0823257,13.77   0.000,,0.972574,1.295285
265,1.360017,0.0834314,16.30   0.000,,1.196494,1.523539
266,1.703929,0.08229,20.71   0.000,,1.542643,1.865214
267,1.997258,0.0837101,23.86   0.000,,1.833189,2.161327
268,2.092809,0.0862289,24.27   0.000,,1.923804,2.261815
269,2.049669,0.0897187,22.85   0.000,,1.873823,2.225514
270,2.066757,0.0946467,21.84   0.000,,1.881253,2.252261
271,1.973443,0.0910447,21.68   0.000,,1.794998,2.151887
272,1.925593,0.0898213,21.44   0.000,,1.749547,2.10164
273,1.780897,0.0868767,20.50   0.000,,1.610622,1.951173
274,1.893209,0.0907441,20.86   0.000,,1.715354,2.071064
275,1.899313,0.0883165,21.51   0.000,,1.726215,2.07241
276,2.029918,0.0853313,23.79   0.000,,1.862672,2.197165
277,2.131746,0.0885549,24.07   0.000,,1.958182,2.305311
278,2.158004,0.084505,25.54   0.000,,1.992377,2.323631
279,2.208531,0.0856619,25.78   0.000,,2.040637,2.376425
280,2.320772,0.0824807,28.14   0.000,,2.159113,2.482431
281,2.467898,0.1008147,24.48   0.000,,2.270305,2.665491
282,2.51616,0.0816435,30.82   0.000,,2.356142,2.676179
283,2.630477,0.0962435,27.33   0.000,,2.441843,2.819111
284,0.4879721,0.0837287,5.83   0.000,,0.3238669,0.6520774
285,0.5592317,0.0854583,6.54   0.000,,0.3917364,0.726727
286,0.6298283,0.0813639,7.74   0.000,,0.4703579,0.7892988
287,0.5610665,0.0902145,6.22   0.000,,0.3842491,0.7378838
288,1.077463,0.0803879,13.40   0.000,,0.9199057,1.235021
289,0.5756671,0.0949917,6.06   0.000,,0.3894867,0.7618475
290,1.020134,0.0763112,13.37   0.000,,0.8705669,1.169702
291,1.140501,0.0743605,15.34   0.000,,0.9947568,1.286245
292,1.885587,0.067719,27.84   0.000,,1.75286,2.018314
293,2.166414,0.0674615,32.11   0.000,,2.034192,2.298637
294,2.118556,0.0732222,28.93   0.000,,1.975043,2.262069
295,1.653796,0.0674122,24.53   0.000,,1.52167,1.785921
296,1.447261,0.0649018,22.30   0.000,,1.320056,1.574467
297,1.398039,0.0669327,20.89   0.000,,1.266853,1.529225
298,1.363763,0.0657881,20.73   0.000,,1.23482,1.492705
299,1.34929,0.0692007,19.50   0.000,,1.213659,1.484921
300,1.393985,0.07347,18.97   0.000,,1.249987,1.537984
301,1.646932,0.0731188,22.52   0.000,,1.503622,1.790242
302,1.711063,0.0707645,24.18   0.000,,1.572367,1.849759
303,1.813731,0.0702646,25.81   0.000,,1.676015,1.951447
304,1.872741,0.0753798,24.84   0.000,,1.724999,2.020483
305,2.066842,0.0876881,23.57   0.000,,1.894977,2.238708
306,2.204118,0.0931193,23.67   0.000,,2.021607,2.386628
307,2.24739,0.0827423,27.16   0.000,,2.085218,2.409562
308,2.580787,0.1070465,24.11   0.000,,2.370979,2.790594
309,1.492102,0.1224269,12.19   0.000,,1.252149,1.732054
310,1.608946,0.1433708,11.22   0.000,,1.327945,1.889948
311,1.829733,0.1303477,14.04   0.000,,1.574256,2.08521
312,2.207143,0.1102376,20.02   0.000,,1.991081,2.423205
313,2.174039,0.1102105,19.73   0.000,,1.95803,2.390047
314,2.034694,0.1043102,19.51   0.000,,1.83025,2.239139
315,1.710467,0.1590841,10.75   0.000,,1.398668,2.022266
316,1.815141,0.1222288,14.85   0.000,,1.575577,2.054705
317,1.84224,0.092857,19.84   0.000,,1.660244,2.024237
318,1.917068,0.1068899,17.93   0.000,,1.707568,2.126569
319,1.955383,0.2500321,7.82   0.000,,1.465329,2.445438
320,1.767575,0.1094796,16.15   0.000,,1.552999,1.982151
321,2.074264,0.1706457,12.16   0.000,,1.739804,2.408723
322,1.75265,0.1157469,15.14   0.000,,1.52579,1.97951
323,2.320366,0.1654971,14.02   0.000,,1.995998,2.644735
324,2.35664,0.2028032,11.62   0.000,,1.959153,2.754127
325,2.269239,0.3051692,7.44   0.000,,1.671118,2.86736
326,1.837659,0.2456428,7.48   0.000,,1.356208,2.31911
327,2.308644,0.13467,17.14   0.000,,2.044696,2.572592
328,0.7184582,0.0584696,12.29   0.000,,0.6038598,0.8330565
329,0.7274704,0.042393,17.16   0.000,,0.6443817,0.8105592
330,0.7367177,0.0414297,17.78   0.000,,0.6555171,0.8179184
331,0.7168682,0.0424585,16.88   0.000,,0.633651,0.8000854
332,0.6876819,0.0412569,16.67   0.000,,0.6068198,0.7685439
333,0.7525417,0.0406642,18.51   0.000,,0.6728412,0.8322422
334,0.7835114,0.0402666,19.46   0.000,,0.7045902,0.8624325
335,0.9453905,0.0396824,23.82   0.000,,0.8676144,1.023167
336,0.9006273,0.0403103,22.34   0.000,,0.8216205,0.9796341
337,1.082727,0.0401567,26.96   0.000,,1.004021,1.161433
338,1.343174,0.0394977,34.01   0.000,,1.26576,1.420588
339,1.65293,0.0389007,42.49   0.000,,1.576686,1.729174
340,2.024788,0.0387573,52.24   0.000,,1.948825,2.100751
341,2.301043,0.0390567,58.92   0.000,,2.224494,2.377593
342,2.210897,0.0403143,54.84   0.000,,2.131883,2.289912
343,1.886417,0.0387644,48.66   0.000,,1.81044,1.962393
344,1.59158,0.0384037,41.44   0.000,,1.51631,1.666849
345,1.642757,0.0384873,42.68   0.000,,1.567323,1.71819
346,1.565424,0.0386606,40.49   0.000,,1.489651,1.641197
347,1.549175,0.0390873,39.63   0.000,,1.472565,1.625785
348,1.759114,0.0399872,43.99   0.000,,1.680741,1.837488
349,1.886204,0.0391514,48.18   0.000,,1.809469,1.962939
350,1.966962,0.0397037,49.54   0.000,,1.889144,2.044779
351,2.050347,0.0392828,52.19   0.000,,1.973354,2.12734
352,2.002872,0.0403084,49.69   0.000,,1.923869,2.081875
353,2.212185,0.0394188,56.12   0.000,,2.134926,2.289445
354,2.279987,0.0436506,52.23   0.000,,2.194433,2.365541
355,2.396605,0.0428587,55.92   0.000,,2.312603,2.480607
356,2.592251,0.0438761,59.08   0.000,,2.506255,2.678247
357,0.8279236,0.0571657,14.48   0.000,,0.7158809,0.9399663
358,0.8410139,0.0561557,14.98   0.000,,0.7309508,0.951077
359,0.9227711,0.0510956,18.06   0.000,,0.8226256,1.022917
360,0.9889657,0.0495143,19.97   0.000,,0.8919193,1.086012
361,1.067645,0.0478,22.34   0.000,,0.973959,1.161332
362,1.077286,0.0497886,21.64   0.000,,0.9797018,1.17487
363,1.345044,0.0434347,30.97   0.000,,1.259914,1.430175
364,1.517284,0.0455942,33.28   0.000,,1.427921,1.606647
365,1.905332,0.0447323,42.59   0.000,,1.817658,1.993005
366,2.070241,0.0494502,41.87   0.000,,1.97332,2.167161
367,1.993854,0.052712,37.83   0.000,,1.890541,2.097168
368,1.818814,0.0518241,35.10   0.000,,1.717241,1.920388
369,1.665045,0.0589309,28.25   0.000,,1.549543,1.780547
370,1.602015,0.0454279,35.26   0.000,,1.512978,1.691052
371,1.536395,0.0486214,31.60   0.000,,1.441098,1.631691
372,1.596514,0.0454576,35.12   0.000,,1.507419,1.685609
373,1.705706,0.0460115,37.07   0.000,,1.615525,1.795887
374,1.808729,0.0452186,40.00   0.000,,1.720102,1.897356
375,1.772125,0.0508309,34.86   0.000,,1.672498,1.871751
376,1.964257,0.0490442,40.05   0.000,,1.868132,2.060382
377,2.062461,0.0491544,41.96   0.000,,1.96612,2.158802
378,2.1339,0.0477569,44.68   0.000,,2.040298,2.227502
379,2.27715,0.0567819,40.10   0.000,,2.165859,2.38844
380,2.412729,0.0613177,39.35   0.000,,2.292549,2.53291
381,2.567434,0.0800579,32.07   0.000,,2.410523,2.724344
382,1.015079,0.09073,11.19   0.000,,0.8372512,1.192906
