logprice,Coefficient,std. err.,t    P>t,,[95% conf.,interval]
,,,,,,
post,-0.0030469,0.0085824,-0.36   0.723,,-0.0198875,0.0137937
,,,,,,
month,,,,,,
873,0.5083269,0.039119,12.99   0.000,,0.431567,0.5850868
874,0.6013613,0.0454583,13.23   0.000,,0.5121624,0.6905603
875,0.7429997,0.0519903,14.29   0.000,,0.6409836,0.8450158
892,-0.2182912,0.007187,-30.37   0.000,,-0.2323936,-0.2041887
893,0,(omitted),,,,
894,0.0190559,0.0053917,3.53   0.000,,0.0084762,0.0296356
895,0.0719275,0.0083177,8.65   0.000,,0.0556063,0.0882487
896,0.3909899,0.0199324,19.62   0.000,,0.3518781,0.4301016
897,0.4458649,0.0198201,22.50   0.000,,0.4069736,0.4847561
898,0.5262444,0.0221059,23.81   0.000,,0.4828679,0.569621
899,0.5763588,0.0281105,20.50   0.000,,0.5212001,0.6315176
900,0.6698163,0.0318945,21.00   0.000,,0.6072324,0.7324002
901,0.7480362,0.0361321,20.70   0.000,,0.6771372,0.8189351
902,0.7816037,0.0410373,19.05   0.000,,0.7010797,0.8621278
903,0.8651898,0.0476813,18.15   0.000,,0.7716288,0.9587508
904,1.042779,0.051697,20.17   0.000,,0.9413387,1.14422
925,0,(omitted),,,,
926,-0.6935683,0.132987,-5.22   0.000,,-0.9545174,-0.4326192
927,0.0078787,0.2969692,0.03   0.979,,-0.5748388,0.5905962
928,0.8057516,0.2233518,3.61   0.000,,0.3674874,1.244016
929,0.2641006,0.1403448,1.88   0.060,,-0.0112862,0.5394873
930,0.2359641,0.1708629,1.38   0.168,,-0.0993057,0.5712338
931,0.296188,0.1869075,1.58   0.113,,-0.0705648,0.6629408
932,0.240952,0.2072606,1.16   0.245,,-0.1657379,0.6476419
933,0.2316914,0.2594263,0.89   0.372,,-0.2773588,0.7407417
953,0,(omitted),,,,
954,0.0719018,0.0263489,2.73   0.006,,0.0201995,0.1236041
955,0.2477428,0.0492644,5.03   0.000,,0.1510755,0.34441
956,0.2946552,0.0197245,14.94   0.000,,0.2559516,0.3333589
957,0.4007104,0.0286942,13.96   0.000,,0.3444061,0.4570146
958,0.456251,0.0424113,10.76   0.000,,0.3730308,0.5394711
959,0.5481882,0.0623812,8.79   0.000,,0.4257829,0.6705934
960,0.6577369,0.0523757,12.56   0.000,,0.5549644,0.7605093
961,0.691302,0.0559019,12.37   0.000,,0.5816105,0.8009936
962,0.895074,0.0703147,12.73   0.000,,0.7571015,1.033047
979,0.0130715,0.0234546,0.56   0.577,,-0.0329514,0.0590944
980,-0.3955964,0.0277094,-14.28   0.000,,-0.4499682,-0.3412245
981,0,(omitted),,,,
982,-0.0068903,0.0392683,-0.18   0.861,,-0.0839432,0.0701626
983,0.1526966,0.0601614,2.54   0.011,,0.0346469,0.2707463
984,0.3548833,0.0500149,7.10   0.000,,0.2567433,0.4530234
985,0.3672642,0.040094,9.16   0.000,,0.2885912,0.4459373
986,0.4490128,0.0351583,12.77   0.000,,0.3800246,0.5180009
987,0.4656898,0.044807,10.39   0.000,,0.3777688,0.5536108
988,0.5175535,0.0967912,5.35   0.000,,0.3276284,0.7074787
989,0.6355046,0.0694265,9.15   0.000,,0.4992748,0.7717343
990,0.6949229,0.0815563,8.52   0.000,,0.5348919,0.8549538
991,0.8458473,0.077429,10.92   0.000,,0.6939149,0.9977797
1012,0,(omitted),,,,
1013,-0.0276906,0.0162522,-1.70   0.089,,-0.059581,0.0041997
1014,0.0580919,0.0195829,2.97   0.003,,0.0196659,0.0965178
1015,-0.2535728,0.023823,-10.64   0.000,,-0.3003186,-0.206827
1016,-0.3024542,0.0602639,-5.02   0.000,,-0.420705,-0.1842034
1017,-0.4299534,0.0578762,-7.43   0.000,,-0.543519,-0.3163878
1018,-0.4170277,0.0621835,-6.71   0.000,,-0.5390451,-0.2950103
1019,-0.4098493,0.0677191,-6.05   0.000,,-0.5427288,-0.2769698
1020,-0.3451732,0.0687095,-5.02   0.000,,-0.479996,-0.2103503
1040,-0.1314214,0.0503754,-2.61   0.009,,-0.2302688,-0.0325739
1041,0,(omitted),,,,
1042,0.0685488,0.1598083,0.43   0.668,,-0.2450296,0.3821271
1043,0.2680818,0.0527919,5.08   0.000,,0.1644927,0.3716709
1044,0.3080751,0.024869,12.39   0.000,,0.2592767,0.3568735
1045,0.2976919,0.0596009,4.99   0.000,,0.1807422,0.4146417
1046,0.4679738,0.0658081,7.11   0.000,,0.3388441,0.5971034
1047,0.5051811,0.068184,7.41   0.000,,0.3713895,0.6389728
1048,0.5971439,0.0739177,8.08   0.000,,0.4521015,0.7421863
1049,0.7754485,0.0717156,10.81   0.000,,0.6347271,0.9161699
1071,-2.938828,1.747676,-1.68   0.093,,-6.368144,0.490489
1072,-0.5012725,0.1402194,-3.57   0.000,,-0.776413,-0.2261319
1073,-0.6774433,0.0961712,-7.04   0.000,,-0.8661518,-0.4887348
1074,-0.3743463,0.0643156,-5.82   0.000,,-0.5005473,-0.2481453
1075,-0.3054319,0.0534453,-5.71   0.000,,-0.410303,-0.2005608
1076,-0.346791,0.055641,-6.23   0.000,,-0.4559706,-0.2376115
1077,-0.3903362,0.0579429,-6.74   0.000,,-0.5040326,-0.2766399
1078,-0.2573819,0.058851,-4.37   0.000,,-0.3728601,-0.1419036
1097,-1.829441,0.0748619,-24.44   0.000,,-1.976336,-1.682546
1098,-1.275395,0.0758214,-16.82   0.000,,-1.424173,-1.126617
1099,-1.058433,0.075776,-13.97   0.000,,-1.207122,-0.9097442
1100,-0.8487535,0.0771845,-11.00   0.000,,-1.000206,-0.697301
1101,-0.8516248,0.1168433,-7.29   0.000,,-1.080897,-0.622353
1102,-0.7474187,0.0600324,-12.45   0.000,,-0.8652153,-0.6296222
1103,-0.7276606,0.1335207,-5.45   0.000,,-0.9896569,-0.4656643
1104,-0.5917934,0.0620182,-9.54   0.000,,-0.7134865,-0.4701004
1105,-0.5513784,0.0518098,-10.64   0.000,,-0.6530403,-0.4497165
1106,-0.7468646,0.1139588,-6.55   0.000,,-0.9704763,-0.523253
1107,-0.4073495,0.0841319,-4.84   0.000,,-0.5724343,-0.2422646
1125,0,(omitted),,,,
1126,0.2647833,0.0643513,4.11   0.000,,0.1385123,0.3910544
1127,0.2368629,0.0471646,5.02   0.000,,0.1443157,0.3294101
1128,0.2617009,0.0325438,8.04   0.000,,0.197843,0.3255587
1129,0.470365,0.0864078,5.44   0.000,,0.3008143,0.6399158
1130,0.4919366,0.0559647,8.79   0.000,,0.3821217,0.6017514
1131,0.5236114,0.1072371,4.88   0.000,,0.3131892,0.7340337
1132,0.6271447,0.0820816,7.64   0.000,,0.466083,0.7882065
1133,0.5703595,0.194172,2.94   0.003,,0.1893522,0.9513668
1144,0,(omitted),,,,
1145,-0.6713806,0.0127693,-52.58   0.000,,-0.6964367,-0.6463245
1146,-0.778623,0.017536,-44.40   0.000,,-0.8130324,-0.7442135
1147,0.078395,0.0205701,3.81   0.000,,0.038032,0.118758
1148,0.1397603,0.0350951,3.98   0.000,,0.0708961,0.2086245
1149,-0.0750126,0.029688,-2.53   0.012,,-0.1332669,-0.0167583
1168,0,(omitted),,,,
1169,-0.0628853,0.0081302,-7.73   0.000,,-0.0788384,-0.0469322
1170,0.1245591,0.1584297,0.79   0.432,,-0.186314,0.4354322
1171,0.0115918,0.1782978,0.07   0.948,,-0.3382668,0.3614503
1172,0.1754278,0.1186421,1.48   0.140,,-0.0573734,0.4082291
1173,-0.1795867,0.7081374,-0.25   0.800,,-1.569105,1.209931
1190,0,(omitted),,,,
1191,0.0071373,0.0092355,0.77   0.440,,-0.0109848,0.0252594
